Name,Rate (kHz),Run number,Ion,LET,Flux,Duration,Stubs,StubsCLKUknown,StubsStuck,StubsUnknown,L1,,Stubs640,L1640
MPA,500, L2_8,  C,  1.3,  15243,300,  2, 0, 0, 0,10,,18,9
MPA,500,   48, Ne,  3.3,  14640,300, 21, 0, 2, 0,32,,0,0
MPA,500,   51, Ne  30,3.8,12700,300, 18, 0, 0, 0, 0,26,,0,0,
MPA,500,L2_11, Al,  5.7,  15126,300, 15, 0, 3, 0,56,,43,58
MPA,500,    9, Ar,  9.9,  15354,300, 32, 0, 2, 0,84,,0,0
MPA,500,   14, Cr, 16.1,  15273,300, 39, 0, 6, 0,90,,0,0
MPA,500,   20, Ni, 20.4,  14131,300, 49, 0, 1, 0,91,,0,0
MPA,500,   27, Kr, 32.4,  15041,300, 80, 5, 4, 3,143,,0,0
MPA,500,   32, Rh, 46.1,  15542,300,108, 13,11, 5,183,,196,249
MPA,500,   43, Xe, 62.5,  11066,300, 83, 20, 4,16,0,,0,0
CBC,750, L2_7,  C,  1.3,  15100,300,  1, 0, 0, 0,4,,0,0
CBC,750,   46, Ne,  3.3,  14640,300,  9, 0, 3, 0,3,,0,0
CBC,750,   50, Ne  30,3.8,12700,300, 10, 0, 0, 0, 0, 5,,0,0,
CBC,750,L2_10, Al,  5.7,  14900,300, 18, 0, 1, 0,7,,0,0
CBC,750,    5, Ar,  9.9,  15350,300, 38, 0, 2, 0,17,,0,0
CBC,750,   12, Cr, 16.1,  15270,300, 42, 0, 3, 0,16,,0,0
CBC,750,   16, Ni, 20.4,  14100,300, 67, 1, 2, 0,15,,0,0
CBC,750,   23, Kr, 32.4,  14770,300, 76, 2, 3, 1,21,,0,0
CBC,750,   30, Rh, 46.1,  15540,300, 66, 9, 5, 8,28,,0,0
CBC,750,   41, Xe, 62.5,  11066,300, 61, 13, 3, 11,0,,0,0


